ride_id,rideable_type,ride_time,start_station_name,start_station_id,end_station_name,end_station_id,member_casual
0000A7FAFB8C7D58,electric_bike,00:08:57,"Leavitt St & Belmont Ave",KA17018068,"Wilton Ave & Belmont Ave",TA1307000134,casual
0000AB54F17D5D26,classic_bike,00:04:36,"Woodlawn Ave & 58th St",22002,"Kimbark Ave & 53rd St",TA1309000037,member
0000AD4F2376F4C3,electric_bike,00:15:18,,,,,casual
0000AEE6A928FBB7,classic_bike,01:45:15,"Broadway & Wilson Ave",13074,"Sheridan Rd & Lawrence Ave",TA1309000041,casual
0000B0AA568E63CB,classic_bike,00:07:33,"MLK Jr Dr & 29th St",TA1307000139,"State St & 35th St",TA1307000129,member
0000B1262DB50115,electric_bike,00:03:40,,,,,member
0000B8C63C09EDDB,classic_bike,00:06:03,"Clinton St & Madison St",TA1305000032,"Franklin St & Jackson Blvd",TA1305000025,casual
0000BB813C8D3183,classic_bike,00:07:59,"Montrose Harbor",TA1308000012,"Montrose Harbor",TA1308000012,casual
0000C1874B01628D,classic_bike,00:26:20,"Wilton Ave & Belmont Ave",TA1307000134,"Wells St & Concord Ln",TA1308000050,casual
0000C3382290D067,electric_bike,00:04:02,"Delano Ct & Roosevelt Rd",KA1706005007,"Wabash Ave & Roosevelt Rd",TA1305000002,casual
0000C33EB7F92AED,classic_bike,00:09:28,"Southport Ave & Wellington Ave",TA1307000006,"Broadway & Cornelia Ave",13278,member
0000C9AA5E124BAB,electric_bike,00:20:27,,,"Halsted St & 21st St",13162,member
0000C9ADE5F31C27,classic_bike,00:52:56,"Sheridan Rd & Montrose Ave",TA1307000107,"Fairbanks Ct & Grand Ave",TA1305000003,casual
0000CA1A3F48D619,classic_bike,00:06:43,"Damen Ave & Cortland St",13133,"Wood St & Milwaukee Ave",13221,casual
0000CA34A7F8D228,electric_bike,00:03:10,"Clark St & Bryn Mawr Ave",KA1504000151,"Clark St & Elmdale Ave",KA1504000148,member
0000CAE5C57D4A71,electric_bike,00:00:05,"Winchester (Ravenswood) Ave & Balmoral Ave",KA1504000147,,,member
0000CEAA351FED17,electric_bike,00:26:20,"Streeter Dr & Grand Ave",13022,"Damen Ave & Cortland St",13133,member
0000D0E369788F4D,classic_bike,00:35:09,"Streeter Dr & Grand Ave",13022,"Ritchie Ct & Banks St",KA1504000134,casual
0000D1CFE61C3472,electric_bike,00:28:14,"Michigan Ave & Washington St",13001,"State St & Randolph St",TA1305000029,member
0000D271D8C7095A,electric_scooter,00:16:48,,,"N Southport Ave & W Newport Ave",20257.0,member
0000D3D51587F5C9,classic_bike,00:11:39,"Halsted St & Clybourn Ave",331,"State St & Chicago Ave",21544,member
0000D896C7518141,electric_scooter,00:08:37,,,"900 W Harrison St",13028,member
0000D8FCA976E491,electric_bike,00:05:19,"Wood St & Milwaukee Ave",13221,"Western Ave & Winnebago Ave",13068,member
0000DA0D6F215438,classic_bike,00:03:15,"Halsted St & Wrightwood Ave",TA1309000061,"Wilton Ave & Diversey Pkwy",TA1306000014,member
0000DE1BB9C03273,electric_bike,00:11:25,,,,,member
0000DEAC4E6C1D78,electric_bike,00:10:23,"Artesian Ave & Hubbard St",15664,"Western Ave & Winnebago Ave",13068,casual
0000DFD84C5A1E24,electric_bike,00:24:18,,,"Stave St & Armitage Ave",13266,member
0000E0910F7C9928,classic_bike,00:18:04,"Dusable Harbor",KA1503000064,"Shedd Aquarium",15544,casual
0000E29F50F444CF,classic_bike,00:06:09,"Green St & Washington Blvd",13053,"Elizabeth St & Fulton St",13197,casual
0000E30FDDD5FBF2,electric_bike,00:04:16,"Wolcott Ave & Polk St",TA1309000064,"Loomis St & Lexington St",13332,member
0000E4C61245092C,classic_bike,00:50:24,"Shedd Aquarium",15544,"Mies van der Rohe Way & Chestnut St",15529,casual
0000E5815E522920,electric_bike,00:06:36,,,"Broadway & Cornelia Ave",13278,member
0000E9A6C1495FC1,electric_bike,00:02:39,"Wolcott (Ravenswood) Ave & Montrose Ave",TA1307000144,,,casual
0000EC0E2D872EA1,classic_bike,01:01:10,"Griffin Museum of Science and Industry",KA1503000074,"DuSable Lake Shore Dr & Monroe St",13300,member
0000ED49FFACA150,classic_bike,00:08:32,"Rush St & Superior St",15530,"Clark St & Schiller St",TA1309000024,casual
0000ED993562A13F,electric_bike,00:02:48,"Clinton St & Washington Blvd",WL-012,,,member
0000EE48AF86B650,classic_bike,00:04:09,"LaSalle St & Illinois St",13430,"Kingsbury St & Kinzie St",KA1503000043,member
0000F0DC283B1EF1,classic_bike,00:42:36,"Clarendon Ave & Junior Ter",13389,"State St & Van Buren St",TA1305000035,member
0000F7ABD33CBB0E,electric_bike,00:02:35,"California Ave & Montrose Ave",15622,"Rockwell St & Eastwood Ave",KA1504000093,member
0000F9CBD840633E,classic_bike,00:13:57,"Wells St & Evergreen Ave",TA1308000049,"Bissell St & Armitage Ave*",chargingstx1,casual
0000F9ED6D472D12,electric_bike,00:15:03,"Milwaukee Ave & Wabansia Ave",13243,"Clinton St & Washington Blvd",WL-012,member
0000FA2528000817,electric_bike,00:07:41,"Calumet Ave & 18th St",13102,"Federal St & Polk St",SL-008,member
0000FB68D18D032A,classic_bike,00:09:04,"Burling St & Diversey Pkwy",TA1309000036,"Halsted St & Dickens Ave",13192,casual
000102216DE09EC7,classic_bike,00:11:34,"Halsted St & 37th St",TA1307000161,"Leavitt St & Archer Ave",KA1503000068,casual
0001047C2C522324,classic_bike,00:08:11,"Clarendon Ave & Gordon Ter",13379,"Halsted St & Roscoe St",TA1309000025,member
000105E094A92B8A,electric_bike,00:14:04,,,"Dusable Harbor",KA1503000064,member
000106BF8016D11A,classic_bike,00:02:59,"Wells St & Hubbard St",TA1307000151,"LaSalle Dr & Huron St",KP1705001026,member
00010989E46B2F89,classic_bike,00:18:37,"Mies van der Rohe Way & Chicago Ave",13338,"Clark St & Wrightwood Ave",TA1305000014,member
